firstname,lastname,email,campus
Jeremy,Moore,jeremy.moore@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Robert,Salas,robert.salas@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Judy,Oliver,judy.oliver@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Candace,Smith,candace.smith@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Seth,Moore,seth.moore@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Michelle,Kelley,michelle.kelley@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Virginia,Bond,virginia.bond@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Elizabeth,Cooper,elizabeth.cooper@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Gordon,Johnson,gordon.johnson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Ashley,Price,ashley.price@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Tyler,Peterson,tyler.peterson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Vanessa,Reynolds,vanessa.reynolds@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Kelsey,Zavala,kelsey.zavala@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
David,Martin,david.martin@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Alison,Hughes,alison.hughes@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Brenda,Hooper,brenda.hooper@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Oscar,Gonzalez,oscar.gonzalez@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Kelly,Nelson,kelly.nelson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
James,Long,james.long@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Grace,Woods,grace.woods@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Daniel,Clarke,daniel.clarke@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Nicholas,Sanchez,nicholas.sanchez@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
David,Hicks,david.hicks@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Don,Williams,don.williams@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Christopher,Ruiz,christopher.ruiz@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jesse,Ortiz,jesse.ortiz@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Daniel,Ross,daniel.ross@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Stephanie,Blanchard,stephanie.blanchard@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Bonnie,Beasley,bonnie.beasley@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Brenda,Monroe,brenda.monroe@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Joshua,Wyatt,joshua.wyatt@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Timothy,Newman,timothy.newman@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Erica,Sanders,erica.sanders@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
John,Hernandez,john.hernandez@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Rachel,Bryant,rachel.bryant@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Joseph,Harris,joseph.harris@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Matthew,Haynes,matthew.haynes@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Derek,Larson,derek.larson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Maria,Rhodes,maria.rhodes@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Ian,Morrow,ian.morrow@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Sean,Flores,sean.flores@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
David,Wade,david.wade@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Renee,Garcia,renee.garcia@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Randy,Ellis,randy.ellis@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Monica,Clark,monica.clark@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Lisa,Ritter,lisa.ritter@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Christopher,Weiss,christopher.weiss@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Samuel,Travis,samuel.travis@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
David,Dennis,david.dennis@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Amanda,Ray,amanda.ray@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
William,Cain,william.cain@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Brooke,Williamson,brooke.williamson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Daniel,Green,daniel.green@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jacqueline,Jones,jacqueline.jones@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Danny,Spencer,danny.spencer@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Patricia,Torres,patricia.torres@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Courtney,Johnson,courtney.johnson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Robert,Forbes,robert.forbes@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Aaron,Ward,aaron.ward@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Nathan,Grant,nathan.grant@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Ryan,Novak,ryan.novak@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Nicholas,Blackburn,nicholas.blackburn@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Angela,Campbell,angela.campbell@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
John,Jackson,john.jackson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Kevin,Brown,kevin.brown@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Diana,Stuart,diana.stuart@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Mark,Moore,mark.moore@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Kevin,Mcdowell,kevin.mcdowell@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Morgan,Goodman,morgan.goodman@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Kristen,Fletcher,kristen.fletcher@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Cassidy,Hernandez,cassidy.hernandez@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Fred,Davis,fred.davis@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Tiffany,Vargas,tiffany.vargas@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Michele,Smith,michele.smith@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Paula,Garcia,paula.garcia@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Benjamin,Wallace,benjamin.wallace@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Bradley,Martinez,bradley.martinez@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Nicholas,Anderson,nicholas.anderson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Cynthia,Jones,cynthia.jones@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Madeline,Wong,madeline.wong@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Tracey,Martinez,tracey.martinez@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Cameron,Hatfield,cameron.hatfield@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Denise,Wheeler,denise.wheeler@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Holly,Carr,holly.carr@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Elizabeth,Coleman,elizabeth.coleman@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Frank,Green,frank.green@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
John,Young,john.young@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Frank,Stevenson,frank.stevenson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Nicole,Ortiz,nicole.ortiz@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Nicole,Richards,nicole.richards@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
James,Jones,james.jones@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Kevin,Bush,kevin.bush@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Robert,Page,robert.page@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Erica,Gonzales,erica.gonzales@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Katherine,Gutierrez,katherine.gutierrez@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Marc,Li,marc.li@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Michael,Neal,michael.neal@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Charles,Foley,charles.foley@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Paul,Johnson,paul.johnson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Nicole,Beck,nicole.beck@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Sarah,Jacobs,sarah.jacobs@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Dylan,Carrillo,dylan.carrillo@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Keith,Moore,keith.moore@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Angelica,Moses,angelica.moses@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
James,Thomas,james.thomas@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Matthew,Dillon,matthew.dillon@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Katie,Christian,katie.christian@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Aaron,Hart,aaron.hart@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Anthony,Cordova,anthony.cordova@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jennifer,Peters,jennifer.peters@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Christine,Mckee,christine.mckee@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jane,Sanders,jane.sanders@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Tara,Schmidt,tara.schmidt@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Amy,Johnson,amy.johnson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Christine,Chavez,christine.chavez@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Christine,Love,christine.love@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jennifer,James,jennifer.james@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Vicki,Nolan,vicki.nolan@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Brandi,Keller,brandi.keller@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Tyler,Dean,tyler.dean@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Alex,Fuller,alex.fuller@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Johnny,Bowen,johnny.bowen@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Elaine,Hartman,elaine.hartman@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Scott,Roberts,scott.roberts@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Troy,Jones,troy.jones@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Nicholas,Hurley,nicholas.hurley@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Danny,Fletcher,danny.fletcher@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Diana,Wood,diana.wood@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Ryan,Randall,ryan.randall@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Courtney,Johnson,courtney.johnson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
James,Sanders,james.sanders@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Taylor,Spence,taylor.spence@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Tonya,Gray,tonya.gray@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Becky,Anderson,becky.anderson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Renee,Huerta,renee.huerta@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Linda,Berry,linda.berry@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Andrew,Herrera,andrew.herrera@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Patrick,Garcia,patrick.garcia@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Timothy,Henderson,timothy.henderson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Sandra,Franco,sandra.franco@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Aaron,Obrien,aaron.obrien@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Amy,Hooper,amy.hooper@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Anna,Miller,anna.miller@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Andrew,Allen,andrew.allen@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Ashley,Christian,ashley.christian@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Anthony,Lawrence,anthony.lawrence@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Ellen,Gutierrez,ellen.gutierrez@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jerry,Davies,jerry.davies@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Tonya,Hickman,tonya.hickman@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Donna,Alvarez,donna.alvarez@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Christine,Mendoza,christine.mendoza@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Dawn,Cole,dawn.cole@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Tyler,Brown,tyler.brown@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Sarah,Smith,sarah.smith@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Yolanda,Camacho,yolanda.camacho@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Danielle,Rowe,danielle.rowe@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jennifer,Barton,jennifer.barton@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Robert,Jordan,robert.jordan@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Lisa,Elliott,lisa.elliott@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Dawn,Marquez,dawn.marquez@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Andrew,Marshall,andrew.marshall@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Sydney,Cooper,sydney.cooper@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Angela,Rodriguez,angela.rodriguez@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Julie,Wyatt,julie.wyatt@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jessica,Gonzalez,jessica.gonzalez@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Denise,Dalton,denise.dalton@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Cody,Wilson,cody.wilson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
John,Mckinney,john.mckinney@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Regina,Sanchez,regina.sanchez@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Nicholas,Reeves,nicholas.reeves@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Erica,Benson,erica.benson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Carmen,Norman,carmen.norman@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Luis,Joyce,luis.joyce@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Emma,Hawkins,emma.hawkins@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
John,Farley,john.farley@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Mark,Williams,mark.williams@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Cassandra,Rice,cassandra.rice@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Kyle,Clark,kyle.clark@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jesus,Perez,jesus.perez@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Christopher,Vang,christopher.vang@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Nathaniel,Aguilar,nathaniel.aguilar@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Elizabeth,Peck,elizabeth.peck@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Joshua,Baird,joshua.baird@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Logan,Wood,logan.wood@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Marisa,Thornton,marisa.thornton@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Michelle,Meadows,michelle.meadows@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Laura,Colon,laura.colon@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jessica,Thompson,jessica.thompson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Marissa,Watson,marissa.watson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jason,Coleman,jason.coleman@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Daniel,Hill,daniel.hill@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Monica,Roy,monica.roy@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Dustin,Richardson,dustin.richardson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Danielle,Chan,danielle.chan@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Ann,Bauer,ann.bauer@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Scott,Henderson,scott.henderson@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Debra,Smith,debra.smith@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Annette,Hogan,annette.hogan@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jacob,Payne,jacob.payne@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Kevin,Barr,kevin.barr@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Carrie,Thomas,carrie.thomas@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Joshua,Jones,joshua.jones@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Daniel,Sanchez,daniel.sanchez@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Peggy,Garcia,peggy.garcia@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jennifer,Sanchez,jennifer.sanchez@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Ashley,Christensen,ashley.christensen@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
Jason,Torres,jason.torres@whitecliffe.ac.nz,"Auckland, Wellington, Christchurch"
